OCID,Organization,Used for,Registration date
ocds-a2ef3d,Web Foundation,Demonstrations,2014-10-01
ocds-a3gfe4,BudgIt (Nigeria),,2014-12-08
ocds-a12345,Montreal: Ville de Montréal (Canada),Vue sur les contrats,2015-02-11
ocds-b5fd17,United Kingdom: Crown Commercial Service,Contracts Finder,2015-03-07
ocds-4f64a2,Open Contracting Partnership,,2015-03-27
ocds-7hge34,Norfolk County Council (United Kingdom),,2015-04-22
ocds-1nsder,New York: Department of Citywide Administrative Services (USA),https://github.com/CityOfNewYork/CROL-WebApp/blob/0bc4493095a7f1cd4c046058ee9967c500e44101/src/main/resources/template.ftl,2015-05-27
ocds-e0cia,Canada: Public Works and Government Services,Pilot,2015-06-05
ocds-87sd3t,Ciudad de México: Gobierno de la Ciudad de México (México),,2015-07-02
ocds-34a6hz,Canada: Public Works and Government Services,Pilot,2015-07-23
ocds-591adf,Natural Resource Governance Institute (NRGI) (USA),ResourceContracts.org and other platforms,2015-08-25
ocds-6as3t2,DSP.im (Taiwan),Used for publishing the Taiwanese government e-procurement contracts,2015-09-21
ocds-03ad3f,Paraguay: National Directorate of Public Contracts and Ministry of Finance,,2015-09-24
ocds-23g63a,Zambia: Public Procurement Agency,,2015-12-22
ocds-azam7x,Nigeria: Public and Private Development Centre (PPDC),Budeshi,2015-12-23
ocds-rxqvff,Multiple,Converted TED Data,2016-01-14
ocds-0c46vo,openopps.com,Converted TED and UK data,2016-03-18
ocds-213czf,Open Data Services Co-operative Limited,Sample data,2016-05-12
ocds-ep75k8,Vietnam: Ministry of Planning and Investment and Public Procurement Agency,,2016-05-13
ocds-k50g02,Colombia: Agencia Nacional de Contratación Pública,Colombia Compra Eficiente,2016-05-24
ocds-ngfbwp,Moldova: Public Procurement Agency,Open Contracting Assessment Portal for Moldova,2016-06-09
ocds-k94lzj,Tunisia: Ministry of Energy and Mines,,2016-06-13
ocds-bt0hng,Tunisia: Entreprise Tunisienne d'Activités Pétrolières (ETAP),,2016-06-13
ocds-4qypb3,Mexico: Ministry of Communications and Transport,Red Compartida Publication,2016-07-12
ocds-8mw9gh,OperePubbliche 2.0 (Italy),,2016-08-05
ocds-yiy6kk,Open Data Lab Tanzania (dLab),,2016-09-07
ocds-ga10ve,Open Data Peru (ODPE),pro-veedor.pe,2016-10-24
ocds-k4r8nn,Code for Australia,Producing a proof of concept implementation for the Victorian Government,2016-11-11
ocds-0ud2q6,"Proyecto sobre Organización, Desarrollo, Educación e Investigación (PODER) (Mexico)",Republication of data from Compranet and other data sources https://www.quienesquien.wiki/entidades-y-fuentes,2016-11-18
ocds-yyi9yb,"City of Austin, Texas (USA)",,2016-12-06
ocds-gyl66f,Nigeria: Bureau of Public Procurement,,2016-12-07
ocds-43qwtd,Australia: New South Wales Government,,2016-12-12
ocds-b17p2m,Kenya: Public Private Partnership Unit,,2017-01-20
ocds-12btn8,Nigeria: Infrastructure Concession Regulatory Commission (ICRC),,2017-01-20
ocds-2q8bt1,Ghana: PPP unit,,2017-01-20
ocds-3n5h6d,Open Data Kosovo,e-prokurimi.org,2017-02-06
ocds-be6bcu,Government of Ukraine,ProZorro,2017-02-20
ocds-miumsd,Open Development Cambodia,Open Development Mekong,2017-04-13
ocds-yfs5dr,Uruguay: Agencia de Compras y Contrataciones del Estado,,2017-05-02
ocds-rdvc92,Uganda: Public Procurement and Disposal of Public Assets Authority (PPDA),http://gpp.ppda.go.ug/,2017-05-16
ocds-afalqw,Afghanistan: National Procurement Authority (NPA),http://npa.gov.af,2017-05-24
ocds-sgrrpz,Nigeria: Nigeria Sovereign Investment Authority (NSIA),,2017-05-26
ocds-afzrfb,Indonesia: Bandung Integrated Resources Management System (BIRMS),https://birms.bandung.go.id/,2017-06-02
ocds-2l1h1m,Grupo Aeroportuario de la Ciudad de Mexico (GACM) (Mexico),,2017-06-02
ocds-rw2stw,Nepal: Public Procurement Monitoring Office (PPMO),,2017-06-22
ocds-3z43pn,Georgia: State Procurement Agency,,2017-07-05
ocds-v9mmex,OpenNWT.ca (Canada),,2017-07-18
ocds-07smqs,Mexico: Federal Government,,2017-08-10
ocds-aiis30,"Tajikistan: Agency of Public Procurement of Goods, Works and Services",http://zakupki.gov.tj,2017-08-14
ocds-g4facg,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI) (Mexico)",,2017-09-18
ocds-xs1qbl,Gobierno del Estado de Jalisco (Mexico),Procesos de compra en el nuevo sistema estatal de contrataciones abiertas,2017-10-20
ocds-7bcrc6,Digiwhist,,2017-11-08
ocds-pyfy63,K-Monitor,,2017-11-10
ocds-hdexwj,Kazakhstan: Ministry of Finance,,2017-11-24
ocds-pyiee7,Spend.ro (Romania),,2017-12-06
ocds-q7gbyr,Armenia: Ministry of Finance (ARMEPS),https://armeps.am/ocds/release,2018-02-28
ocds-70d2nz,Chile: ChileCompra,http://www.chilecompra.cl,2018-03-06
ocds-mfx54g,Coalianza (Honduras),http://coalianza.gob.hn/es/,2018-03-13
ocds-bulbcf,Ciudad de Buenos Aires (Argentina),https://data.buenosaires.gob.ar/,2018-03-22
ocds-uhveoc,Ghana: Public Procurement Authority (PPA),,2018-04-03
ocds-6t3nl6,El Salvador: Ministerio de Hacienda,https://www.comprasal.gob.sv/comprasal_web/,2018-06-28
ocds-a2wq5y,Malta: Ministry for Finance,,2018-07-09
ocds-r6ebe6,Scotland: Scottish Procurement and Commercial Directorate (SPCD) (United Kingdom),https://www.publiccontractsscotland.gov.uk/Default.aspx,2018-07-11
ocds-d2phr6,Australia: Department of Finance,https://www.tenders.gov.au/,2018-07-30
ocds-xqjsxa,Guatemala: Ministerio de Finanzas Públicas,,2018-08-03
ocds-b3wdp1,Moldova: Ministry of Finance,,2018-10-01
